Title,Author,Abstract,Keywords,Publication title,Country of publication,Publication year,Source type,Language of publication,DOI Link
The effectiveness of immersive virtual reality as a student-centered tool for learning neuroanatomy: A single-blind randomized controlled trial with physiotherapy students,"García-Robles P, Obrero-Gaitán E, Cortés-Pérez I, Ibancos-Losada MDR, Díaz-Fernández Á, Osuna-Pérez MC.","Neuroanatomy is a crucial component of the physiotherapy curriculum, but its complexity can lead to ""neurophobia"" among students. Immersive virtual reality (IVR) offers an innovative alternative to traditional methods by providing interactive and realistic three-dimensional images of neurological structures. We aim to evaluate the effectiveness of IVR for learning neuroanatomy and to assess student satisfaction and motivation. We conducted a single-blind randomized controlled trial with 67 second-year physiotherapy students. Besides didactic lectures, students were randomly assigned to one of two groups. The first was an IVR group (n = 34), in which students studied autonomously using the MetaQuest 2 IVR device with the SharecareYOU VR application (60 min), after having received instructions on how to use it (30 min). The second group (n = 33) followed a traditional learning approach using anatomical atlases and textbooks (90 min). Knowledge retention was assessed through an 18-item questionnaire, while satisfaction, perceived usefulness, and usability of the IVR headset were evaluated using other questionnaires. Evaluations were carried out immediately after the intervention, and four weeks later. The IVR group demonstrated significantly higher knowledge retention overall (p < 0.001) as well as in specific areas, such as theoretical understanding, spatial location, and labeling of brain areas (p < 0.001). No statistically significant differences were maintained 4 weeks after the intervention (p = 0.37). Additionally, IVR students reported greater satisfaction (p < 0.001) and found it useful for learning (p < 0.001) without adverse events. Our findings show that IVR is a safe supplementary tool that is more effective for enhancing neuroanatomical education in physiotherapy than textbooks and atlases.",virtual reality,Anat Sci Educ,United States,2025,Randomized Controlled Trial,unknown,10.1002/ase.70068
Strategic HRM and SME innovation: a chain mechanism of learning-resilience pathway and nonlinear environmental dynamism,"Wang J, Zhang J, Zhao Y.","In an increasingly competitive business environment, organizational innovation has become crucial for enterprises seeking to establish and maintain a competitive advantage. This study aims to investigate how SHRM drives innovation in SMEs through the chain mediation of organizational learning and resilience, while exploring the nonlinear moderating role of environmental dynamism. Grounded in dynamic capability theory, we propose a three-dimensional framework that integrates internal organizational mechanisms with external environmental contingencies. Utilizing a three-wave survey design with 256 technology-focused SMEs in China's Yangtze River Delta region, we employed hierarchical regression analysis and bootstrap mediation tests to validate hypothesized relationships. The findings indicate that SHRM significantly contributes to promoting organizational innovation in SMEs. Organizational learning (as a knowledge-building process) and resilience (as an adaptive capacity) sequentially mediate this relationship, forming an internal ""learning-resilience"" mechanism in which knowledge acquisition fosters robust adaptation, thereby synergistically enhancing innovation capability development. Furthermore, environmental dynamism exhibits a significant inverted U-shaped moderating effect: moderate levels amplify SHRM's innovation-enhancing effects, whereas excessive dynamism diminishes its efficacy, revealing a ""dynamic-changing"" boundary condition. Theoretically, this study advances dynamic capability theory by unraveling the synergistic interplay between internal capability-building processes and external environmental contingencies. Practically, this study provides actionable insights for SME managers to strategically allocate human resources, cultivate learning-resilience capacities, and adaptively respond to environmental turbulence, thereby fostering sustainable innovation in volatile markets.",organizational resilience (OR),Front Psychol,Switzerland,2025,Journal Article,unknown,10.3389/fpsyg.2025.1584489
Usability of Mixed Reality for Naloxone Training: Iterative Development and Field Testing of ReviveXR,"Jayawardene W, Magnuson R, Kumbalatara C, Kase M, Park A, Goodson A, Barrows S, Bolinski R, Willett J.","Background/Objectives: The increased availability of naloxone underscores the urgent need for scalable, effective training interventions. While current training modalities show promise, critical challenges persist, particularly regarding the development of interactive, self-efficacious platforms that mitigate anxiety in real-world overdose response, especially among laypersons. Therefore, this study aimed to develop and evaluate the usability and acceptability of a novel, self-paced mixed reality-based training tool (ReviveXR). Methods: ReviveXR was designed using the Apple Vision Pro spatial computing headset and Unity platform, employing mixed reality technology to facilitate interaction with virtual overdose scenarios while maintaining awareness of the physical environment. The intervention included a simulated tutorial and interactive modules on overdose response, rescue breathing, and chest compressions. Field testing was conducted in two rounds across various settings with a heterogeneous sample (N = 25), including individuals who use drugs, bystanders, first responders, and technology specialists. Data collection involved pre- and post-intervention surveys and qualitative interviews. Results: Participants demonstrated significant improvements in knowledge related to overdose recognition, naloxone administration, rescue breathing, and chest compressions. ReviveXR increased participants' confidence and intent to help overdose victims while reducing uncertainty during overdose reversal. Participants were predominantly from rural areas and primarily identified as White and male. Qualitative feedback emphasized the platform's heightened engagement, realism, patient responsiveness, and capacity to enhance knowledge acquisition and behavioral preparedness compared with conventional training approaches. Conclusions: ReviveXR offers a scalable, cost-effective, engaging alternative to traditional naloxone training programs, demonstrating strong feasibility across diverse environments and participants. ReviveXR holds considerable promise for expanding and enhancing community overdose response capacities and training healthcare professionals and first responders.",virtual reality,Healthcare (Basel),Switzerland,2025,Journal Article,unknown,10.3390/healthcare13121449
Evolving Perceptions and Attitudes to Adopting Generative AI in Professional Settings: Multicenter Longitudinal Qualitative Study of Senior Chinese Hospital Leaders,"Zhi Z, Zhao J, Li Q, Li Q, Xu M, Zuo Y, Wang M, Liu J, Guan J, Wang J.","BACKGROUND: The rapid evolution of generative artificial intelligence (GenAI) is transforming health care globally. In China, hospitals are rapidly embracing digital transformation. Senior leaders are pivotal in influencing and deciding the adoption of GenAI technologies in professional settings. However, evidence on their perceptions and attitudes and how they evolve over time is lacking. OBJECTIVE: This study aims to investigate senior Chinese hospital leaders' perceptions relating to GenAI and their attitudes toward adopting GenAI technologies in professional settings and to document how their perspectives evolve. METHODS: A longitudinal, descriptive qualitative study was conducted using a phenomenological approach. Senior leaders, including hospital directors/deputies and department heads/deputies, from 3 tertiary hospitals across the Hebei, Guangdong, and Sichuan provinces were purposively sampled. Data were collected through semistructured telephone interviews at two time points (baseline and 6 months later). Interview transcriptions were analyzed using Colaizzi's method to extract themes related to knowledge acquisition, attitudinal shifts, and evolving barriers and facilitators to GenAI adoption. RESULTS: A total of 32 participants were interviewed in August 2024 and February 2025, including 11 (34.4%) participants from Hebei, 12 (37.5%) from Sichuan, and 9 (28.1%) from Guangdong. Their roles included 8 (25%) hospital directors/deputies and 24 (75%) department heads/deputies. The analysis of the interview transcriptions revealed three primary themes. First, participants' understanding of GenAI improved markedly over time as they engaged with diverse information sources and gained practical experience. Second, despite widespread support for personal use, senior leaders shifted from initial reluctance to formal institutional adoption. Third, initial obstacles, such as limited technical literacy and resource constraint concerns, diminished over time, while new drivers, including peer influence and technological breakthroughs such as DeepSeek, emerged to catalyze adoption. CONCLUSIONS: Senior Chinese hospital leaders' perceptions and attitudes toward GenAI have evolved significantly over time. Improved knowledge through diverse information channels has enhanced their comprehension and shifted their stance from cautious personal experimentation toward formal institutional adoption. The dynamic interplay between diminishing obstacles and emerging catalysts, notably the influence of peer practices and technological breakthroughs such as DeepSeek, underscores the potential for transformative change in health care management. Targeted educational initiatives, pilot projects, and robust policy frameworks are needed to facilitate GenAI integration.",technology adoption,J Med Internet Res,Canada,2025,Multicenter Study,unknown,10.2196/75531
AI-Powered Problem- and Case-based Learning in Medical and Dental Education: A Systematic Review and Meta-analysis,"Wei H, Dai Y, Yuan K, Li KY, Hung KF, Hu EM, Lee AHC, Chang JWW, Zhang C, Li X.","INTRODUCTION AND AIMS: Advances in artificial intelligence (AI) technology have generated a revolution in medical and dental education, which may offer promising solutions to tackle the challenges of traditional problem-based learning (PBL) and case-based learning (CBL). The objective of this study was to assess the available evidence concerning AI-powered PBL/CBL on students' knowledge acquisition, clinical reasoning capability and satisfaction. METHODS: An electronic search was carried out on PubMed, MEDLINE, the Cochrane Central Register of Controlled Trials and Web of Science. Clinical trials published in English with full text available, which implemented AI technologies in PBL/CBL in the medical/dental field and evaluated knowledge acquisition, clinical reasoning and/or satisfaction were included. The quality assessment was conducted using RoB 2 by two calibrated assessors. Data synthesis and meta-analysis were performed, the standardised mean difference (SMD) or standardised mean (SM) and 95% confidence intervals (CIs) were calculated, and heterogeneity was quantified. RESULTS: Six randomized controlled trials were included, with an overall risk of bias judged to have 'some concerns'. For knowledge acquisition, 4 studies were included in the meta-analysis. A low heterogeneity (I² = 20%) was detected and a fixed-effect model was utilised. Compared with the control group, the AI intervention significantly improved knowledge acquisition by 46% (95% Cls [0.18-0.73], P = .001). For clinical reasoning capability, due to methodological and measurement heterogeneity among studies, statistical analysis was not feasible. Three studies were selected for the meta-analysis of students' satisfaction. Heterogeneity was moderate (I² = 32%), and a generic inverse variance method was selected. The pooled SM score was 0.7 (95% Cls [0.47-0.92]), and the overall effect was statistically significant (P < .00001). CONCLUSION: Despite limitations such as the limited number of included studies and the overall risk of bias concerns, AI-powered PBL/CBL has the potential to enhance students' knowledge acquisition and learner satisfaction compared to traditional learning approaches. CLINICAL RELEVANCE: Not applicable.",Problem-based learning,Int Dent J,England,2025,Systematic Review,unknown,10.1016/j.identj.2025.100858
Online Outcomes of a Pediatric Neuro-Oncology Course for Multidisciplinary Healthcare Professionals in Low- and Middle-Income Countries,"Berg F, Andujar A, Chatman G, Rodríguez-Galindo C, Qaddoumi I, Moreira DC.","Online and hybrid pediatric oncology training programs, such as the St. Jude Global Academy's Neuro-Oncology Training Seminar (NOTS), aim to address gaps in educational opportunities. This study examined the online components of the 2022 and 2023 NOTS, using mixed methods to assess strengths, limitations, and areas for improvement specific to the distance learning components. NOTS participants are required to complete 9 weeks of online modules. Participants were invited to evaluate their online learning experience which included both quantitative and qualitative measures related to participant perceptions of the course. Descriptive statistics were used to analyze quantitative results, and qualitative responses underwent thematic analysis. A total of 153 participants from 30 institutions participated in the online modules of the 2022 and 2023 NOTS. Among all participants, 106 (69.1%) completed the online course with a passing score of 70% or higher, and 83 completed the online evaluation. Pre-recorded lectures, rated highly by 73.5% of respondents, were appreciated for their content quality and flexibility. Live meetings were also of importance, with many participants requesting an expansion of interactive online sessions in future iterations of NOTS. Participants also felt the online learning activities (e.g., research projects and case discussions) were important and recommended more frequent knowledge assessments throughout the online modules and long-term follow-up. While most participants found the course duration of online components appropriate, some suggested adjustments to pacing and improved access to content. This study expands on the potential of technology-facilitated pediatric hematology-oncology education in LMICs by offering flexible and accessible learning formats. The findings suggest that blended learning models, interactive content, and incorporating peer and expert feedback can enhance knowledge retention and learner satisfaction among online participants.",Pediatric oncology,J Cancer Educ,England,2025,Journal Article,unknown,10.1007/s13187-025-02681-4
Traditional medical education under siege: the revolutionary integration of virtual reality and gamification in medical escape rooms,"Rafi A, Habibi A, Kalantarion M.","BACKGROUND: Active learning approaches that promote participation, critical thinking, and practical competency are becoming more and more necessary in medical and nursing education. Virtual reality (VR) and gamification, especially in the context of escape rooms, have become popular instructional technology in response to these issues. The interactive, scenario-based learning environments provided by these tools encourage motivation, teamwork, and decision-making. The impact and transformative possibilities of incorporating virtual reality and gamified escape rooms into medical and nursing education are examined in this paper. METHODS: The use of virtual reality (VR), gamification, and escape rooms in medical and nursing education was investigated using a thorough narrative literature review. In order to give a comprehensive and holistic overview of new subjects, this method was selected. Keywords like ""escape room,"" ""digital escape room,"" ""online escape room,"" ""gamification,"" ""game-based education,"" ""virtual reality in medical education,"" ""medical student,"" ""nursing education,"" ""nursing student,"" and ""nursing staff"" were used in the January 10, 2025, search across Web of Science, PubMed, ERIC, and Scopus. English-language publications from the past ten years that addressed virtual reality, gamification, or escape rooms in medical or nursing education were included in the inclusion criteria. Non-relevant papers, non-peer-reviewed literature, and research with unclear methodology or no empirical data were among the exclusion criteria. 25 studies were chosen for a thorough assessment after a rigorous screening process based on methodological rigor and relevance. RESULTS: The total number of retrieved articles in Google Scholar, PubMed, Scopus, and Web of Science on January 10, 2025, was 172. After removing 64 duplicate articles, 108 papers were screened by experts. After this investigation, 25 articles were extensively reviewed for the results section. The findings from the selected studies can be categorized into four main areas: enhancing clinical decision-making, improving teamwork and collaboration, increasing knowledge retention and engagement, and reducing stress in high-pressure scenarios. These studies, summarized in Table 1, highlight the effectiveness of escape rooms and VR-based training in medical and nursing education, particularly in emergency medicine, pharmacy, radiology, internal medicine, and psychiatry. CONCLUSION: The integration of VR and gamified escape rooms in healthcare education presents a promising approach to improving clinical training and competency development among medical students, nursing students, and healthcare professionals. The findings underscore the need for further research and implementation of these tools to enhance experiential learning and optimize medical education outcomes. By leveraging gamification and VR simulations, medical training programs can bridge educational gaps and improve patient care delivery in both traditional and remote learning environments. CLINICAL TRIAL NUMBER: Not applicable.",Virtual reality,BMC Med Educ,England,2025,Review,unknown,10.1186/s12909-025-07367-5
Making It Active: A Cohort Study of a Large-Group Learning Session to Improve Nutrition-Related Knowledge and Skills for Second-Year Medical Students,"Schneider GW, Bisschops J, Bhoite P, Moulik S.","INTRODUCTION: Despite the well-established role of nutrition in preventing and managing chronic diseases, medical education often lacks sufficient training in nutrition counseling. To address this gap, the Florida International University Herbert Wertheim College of Medicine introduced a 2-hour, case-based active learning session on diabetes-related nutrition education. This cohort study evaluates the session's effectiveness in improving students' knowledge of nutritional therapy for diabetes, evidence-based research methods, and the role of social determinants of health (SDOH). METHODS: The study followed two cohorts of second-year medical students from the Classes of 2024 and 2025. Students participated in a session that combined an introductory lecture with two small-group case-based exercises. Interactive technology-enhanced quizzes assessed pre- and post-session knowledge on diabetes nutrition, research methodology, and SDOH considerations. Additionally, end-of-course surveys evaluated students' perceptions of learning. Statistical analyses included the Two-Proportion Z-Test for quiz results and the Mann-Whitney U Test for survey responses. RESULTS: Significant improvements were observed in students' knowledge of nutritional management for diabetes and evidence-based research strategies (p < 0.05). However, no significant changes were found in SDOH-related knowledge, likely due to high pre-session baseline scores. End-of-course surveys indicated positive student perceptions of the session, with scores largely stable across cohorts, though perceptions of nutritional guidance benefits were slightly lower in the Class of 2025 (p = 0.0282). DISCUSSION: The case-based active learning session effectively enhanced knowledge acquisition and was well-received by students while requiring minimal faculty involvement. Future research should assess long-term retention and integrate nutrition education longitudinally across the curriculum.",social determinants of health,J Med Educ Curric Dev,United States,2025,Journal Article,unknown,10.1177/23821205251356096
The impact of Information and Communication Technology (ICT) on learning outcomes in early childhood and primary education: a meta-analysis of moderating factors,"Ruijia Z, Wenling L, Xuemei Z.","The role of Information and Communication Technology (ICT) in fostering the learning and development of young children and primary school students has become a pivotal focus in contemporary education. This study adopts a meta-analytic approach to systematically synthesize and evaluate findings from 30 recently published studies on the use of ICT in early childhood and primary education. The analysis reveals that ICT has a significant positive effect on student learning, particularly in enhancing language skills (effect size = 0.24) and subject knowledge acquisition (effect size = 0.59). Additionally, the analysis highlights the moderating effects of variables such as intervention duration and application type, emphasizing the need for context-specific implementation strategies. A random-effects model was employed to account for between-study variability, providing robust empirical evidence to inform the design and application of ICT in basic education. The study further recommends that future research prioritize the development of tailored digital resources, the evaluation of long-term impacts, and the exploration of contextual adaptability to fully realize the potential of ICT in enhancing the learning and development of young children and primary school students.",student learning and development,Front Psychol,Switzerland,2025,Review,unknown,10.3389/fpsyg.2025.1540169
Effect of virtual reality educational program on critical thinking disposition among nursing students in Egypt: a quasi-experimental pretest-posttest design,"Gabr MAM, Sleem WF, El-Wkeel NS.","BACKGROUND: Education has continuously evolved to keep pace with advancements in information technology. Virtual reality (VR) has emerged as an innovative and effective learning approach that enhances student engagement, particularly in developing problem-solving and critical thinking skills. Since its introduction in the early 1980s, VR has gained increasing attention in nursing education due to its potential to improve learning outcomes and skill acquisition. However, there is a need for further research to explore its impact on critical thinking disposition among nursing students. METHODS: This quasi-experimental pretest-posttest study was conducted with a convenience sample of 190 nursing students from Damietta University's Faculty of Nursing. Participants were assessed on their critical thinking disposition and VR-related knowledge at three time points: before the intervention, immediately after, and two months post-intervention. AIM: The VR-based educational program aimed to improve students' critical thinking disposition and assess their knowledge of virtual reality before, during, and after the program. RESULTS: A statistically significant improvement in students' mean scores for critical thinking disposition was observed across all evaluations (p < 0.001). The effect size (η²p ≥ 0.14) indicated a substantial impact, reinforcing the effectiveness of the VR-based educational program in fostering higher-order cognitive skills. Additionally, students demonstrated increased retention of VR-related knowledge when assessed immediately after the program and again after two months. CONCLUSIONS: This study highlights the transformative potential of VR as an educational tool in nursing. VR-based learning promotes active engagement, knowledge retention, and skill development in a safe and controlled environment. By integrating VR programs into nursing education, institutions can enhance students' critical thinking, collaboration, and communication skills, ultimately preparing them for real-world clinical practice. Given these findings, educational institutions should consider incorporating VR technology to support the continuous development of essential nursing competencies. TRIAL REGISTRATION: This study is formally registered on ClinicalTrials.gov (Identifier Code: NCT06622811; Registration Date: 01/10/2024).",Virtual reality,BMC Nurs,England,2025,Journal Article,unknown,10.1186/s12912-025-03488-w
From Surface to Deep Learning: Gamified Mobile Education for Subcutaneous and Intramuscular Injection Skills,"Tamer Z, Kavuran E.","The aim of this study was to investigate the effect of a game-based mobile application on nursing students' skills in administering subcutaneous (SC) and intramuscular (IM) injections. Nursing education traditionally involves both theoretical and practical components. With the advent of digital technologies, innovative methods such as game-based learning have been introduced to enhance practical skills and knowledge retention in nursing education. This study explores the use of a mobile application designed to improve students' competence in SC and IM drug administration. This was an experimental study conducted during the 2021-2022 academic year. It involved a study group of 64 students who received training through a simulation game system and a control group of 65 students who underwent traditional training methods. Data were collected using the Self-Demonstration Form, the Study Process Questionnaire, and the Skills Performance List for Subcutaneous and Intramuscular Administration. The study focused on assessing the impact of game-based learning on students' performance and learning approaches. The study group showed significantly greater improvements in learning approaches and medication administration skills compared to the control group. Deep learning scores increased from 31.39 ± 6.23 to 45.05 ± 5.46 in the study group, versus 31.78 ± 5.68 to 37.02 ± 4.17 in the control group (p < 0.01). SC and IM administration scores improved significantly in the study group (SC: 22.50 ± 15.46 to 42.45 ± 11.66, p = 0.015; IM: 27.75 ± 15.98 to 59.45 ± 12.95, p < 0.001) compared to the control group. Scenario-based analyses also showed significant performance gains in the study group across all scenarios (p < 0.05). The HEM-SC-IM game-based mobile application proved effective in improving nursing students' skills in administering SC and IM injections. The interactive and engaging nature of game-based learning provides a valuable educational experience, promoting deeper understanding and practical skills development. This study supports the integration of educational technology in nursing curricula to enhance learning outcomes.",Practical skills development,Med Sci Educ,United States,2025,Journal Article,unknown,10.1007/s40670-025-02323-w
Effectiveness of Gamified Teaching in Disaster Nursing Education for Health Care Workers: Systematic Review,"Bai S, Zeng H, Zhong Q, Cao L, He M.","BACKGROUND: With the continuous advancement of medical technology and the frequent occurrence of disaster events, the training of health care workers in disaster nursing has become increasingly significant. However, traditional training methods often struggle to engage learners' interest and enthusiasm, making it challenging to simulate emergencies in real-life scenarios effectively. Gamification, as an innovative pedagogical approach that enhances the enjoyment and practicality of learning through the incorporation of game elements, has garnered considerable attention in the realm of disaster nursing education for health care workers in recent years. This review systematically evaluates its effectiveness and explores its advantages in improving training outcomes. OBJECTIVE: This review aims to evaluate the effectiveness of gamified teaching methodologies in disaster nursing education and to identify the outcome of 16 indicators used in existing studies. METHODS: This study was conducted following the PRISMA (Preferred Reporting Items for Systematic reviews and Meta-Analyses) guidelines, using the PICO-SD framework (Population, Intervention, Control, Outcome, Study Design) to establish the inclusion criteria. The researchers systematically searched 8 databases on February 10, 2025, including the Cochrane Library, PubMed, CINAHL (EBSCO), Embase, Web of Science, CNKI, Wanfang, and SCOPUS. Ultimately, 16 quasi-experimental studies investigating the application of gamified teaching in disaster nursing education were included in the analysis. For randomized controlled trials (RCTs), the Cochrane Risk of Bias Assessment Tool (RoB 2.0) was used for quality assessment; for quasi-experimental studies, the Joanna Briggs Institute Risk of Bias Tool for Non-Randomized Intervention Studies was used for methodological quality evaluation. Given the heterogeneity of study designs and the diversity of study indicators, this study used a narrative synthesis to integrate the findings. RESULTS: The studies included in this review comprised 1 RCT and 15 quasi-experimental designs. Six gamified formats exhibited positive outcomes. The effectiveness of these formats was assessed through various metrics, including theoretical knowledge (14 studies), practical skills (11 studies), learner satisfaction (9 studies), knowledge retention (4 studies), and self-efficacy (2 studies). All formats demonstrated improvements in knowledge and skills, with high levels of satisfaction reported. However, data on long-term retention were limited. CONCLUSIONS: Gamification teaching methods have shown significant potential to enhance core competencies such as emergency response, decision-making, and teamwork in disaster nursing education and have been effective in reinforcing learning engagement through elements such as cooperation, competition, scoring, and scenario simulation. However, there is a lack of standardized assessment frameworks for skill acquisition, longitudinal studies tracking behavior in real-life scenarios, and rigorous RCTs comparing it with traditional instruction. Although the existing evidence has not systematically confirmed its full effectiveness, based on the findings, this paper provides practical recommendations for developing and implementing gamified teaching strategies in disaster nursing education to enhance students' knowledge acquisition and practice.",systematic review,J Med Internet Res,Canada,2025,Systematic Review,unknown,10.2196/74955
It's virtually a normal delivery! Revolutionising obstetric teaching with emerging technologies,"Cheng H, Liu C, Khoo ET, Kanneganti A, Choolani M, Gosavi AT.",,virtual reality,Ann Acad Med Singap,Singapore,2025,Journal Article,unknown,10.47102/annals-acadmedsg.202564
Deep knowledge tracing and cognitive load estimation for personalized learning path generation using neural network architecture,"Tong C, Ren C.","This paper presents a novel approach for personalized learning path generation by integrating deep knowledge tracing and cognitive load estimation within a unified framework. We propose a dual-stream neural network architecture that simultaneously models students' knowledge states and cognitive load levels to optimize learning trajectories. The knowledge state tracking module employs a bidirectional Transformer with graph attention mechanisms to capture complex relationships between knowledge components, while the cognitive load estimation module utilizes multimodal data analysis to dynamically assess mental effort during learning activities. A dual-objective optimization algorithm balances knowledge acquisition with cognitive load management to generate paths that maintain optimal challenge levels. Experimental evaluations across multiple educational domains demonstrate that our approach outperforms existing methods in prediction accuracy (87.5%), path quality (4.4/5), and learning efficiency (24.6% improvement). The implemented system supports real-time adaptation based on performance and cognitive state, resulting in reduced frustration, higher engagement, and improved knowledge retention. This research contributes to both theoretical understanding of learning processes and practical implementation of next-generation adaptive educational technologies.",Personalized learning,Sci Rep,England,2025,Journal Article,unknown,10.1038/s41598-025-10497-x
The combined impact of AI and VR on interdisciplinary learning and patient safety in healthcare education: a narrative review,Chance EA.,"INTRODUCTION: The increasing integration of Artificial Intelligence (AI) and Virtual Reality (VR) in healthcare education offers innovative ways to enhance collaborative learning and improve patient safety. This narrative review examines the synergistic impact of AI-powered virtual reality (VR) simulations, such as those used in surgical training and patient communication, on knowledge acquisition, clinical skill development, and collaborative competencies among healthcare students. It also explores long-term knowledge retention, ethical considerations within virtual scenarios, and the psychological impact of high-stakes simulations on learner resilience. METHODS: This review is distinguished by its exhaustive literature search, which spanned PubMed, CINAHL, Scopus, Google Scholar, and other pertinent databases, to identify studies published between 2005 and 2024. The distinct focus on AI and VR interventions in healthcare education, particularly those with outcomes related to interdisciplinary learning or patient safety, distinguishes this review. Data were thematically analyzed across domains, including adaptive learning, technical skill development, teamwork, patient safety, and ethics. RESULTS: The findings of this review carry significant practical implications. Five key themes emerged: adaptive learning (n = 17), immersive skill development (n = 10), teamwork enhancement (n = 10), patient safety (n = 18), and ethical considerations (n = 21). These themes underscore the potential of AI and VR in healthcare education. AI-driven adaptive systems enabled personalized VR training, enhancing engagement and knowledge retention. Real-time AI feedback during simulations improved decision-making in safe, controlled environments. Interdisciplinary team simulations enhanced communication and collaboration, which are crucial for effective clinical care. Ethical modules embedded in VR scenarios promoted moral reasoning. Several studies also reported increased learner confidence in performing clinical procedures following VR training, suggesting enhanced preparedness for practice. CONCLUSION: The integration of AI and VR holds the potential to revolutionize healthcare education, fostering personalized, immersive, and ethically informed learning. These technologies enhance technical proficiency and equip students with the complex demands of modern clinical practice. Strategic implementation can contribute to error reduction, improved patient outcomes, and a culture of safety. However, the journey is not over. Continued research is crucial for assessing the long-term outcomes and cost-effectiveness of these educational innovations, as well as for keeping pace with the rapidly evolving field of AI and VR in healthcare education.",Virtual reality (VR),BMC Med Educ,England,2025,Review,unknown,10.1186/s12909-025-07589-7
Innovative Application of Mobile Health Management Combined with the Teach-Back Method in the Rehabilitation of Pelvic Floor Muscle in Postpartum Women with Urinary Incontinence,"Xiao X, Zhang CH, Yang YM, Yan WW, Li XJ, Shang HL.","INTRODUCTION AND HYPOTHESIS: This study aimed to evaluate the combined effect of the teach-back method and a mobile application on maternal pelvic floor muscle rehabilitation, with a focus on reducing urinary incontinence and establishing an optimal health education approach. METHODS: From January 2022 to January 2023, a total of 90 postpartum women were randomly assigned to either a control or an intervention group. The control group received standard pelvic floor exercises and health education, while the intervention group received additional education utilizing the teach-back method in conjunction with a mobile application. Outcomes assessed included urinary incontinence, pelvic floor muscle function, knowledge acquisition, and exercise compliance. RESULTS: The intervention group demonstrated significantly better outcomes compared to the control group in primary measures. Specifically, the degree of urinary incontinence, as assessed by the 1-h urine pad test, was lower in the intervention group (3.2 ± 1.1 g) than in the control group (4.8 ± 1.3 g), and pelvic floor muscle function, measured by the Oxford muscle strength score, was higher in the intervention group (4.2 ± 0.6 grade) compared to the control group (3.1 ± 0.8 grade) (p < 0.01). For secondary outcomes, the knowledge mastery rate was higher in the intervention group (82.0%) than in the control group (66.4%), and exercise compliance was also significantly improved in the intervention group (p < 0.05). Additionally, the severity of urinary incontinence was found to be negatively correlated with pelvic floor muscle function, while increased awareness was identified as a positive predictor of compliance. CONCLUSIONS: The teach-back method combined with mobile apps can effectively reduce the degree of urinary incontinence, promote the recovery of pelvic floor function, and improve rehabilitation cognition and compliance. The research reported in this publication was approved by the self-funded research project of Handan Bureau of Science and Technology, Hebei Province, China,project number: 22422083030ZC.",Teach-back method,Int Urogynecol J,England,2025,Randomized Controlled Trial,unknown,10.1007/s00192-025-06229-4
Effectiveness of m-Learning in Enhancing Knowledge Retention for Nurses' Lifelong Learning: Quasi-Experimental Study,"Cunha DJ, Machado P, Padilha JM.","BACKGROUND: The current information and communication technologies, digital literacy, and ease of access to communication and information devices by nurses provide them with new ways and intention to access information for technical-scientific updating, ensuring the quality and safety of health care. Mobile learning (m-learning) offers a flexible and accessible alternative for continuing professional education, overcoming barriers such as time constraints and financial burden. OBJECTIVE: This study aimed to evaluate the effectiveness of m-learning in nurses' knowledge retention of chronic obstructive pulmonary disease self-management, using a Massive Open Online Course with integrated virtual clinical simulation. METHODS: A quasi-experimental pre- and posttest study was conducted, with no control group, among 168 nurses from a Portuguese hospital. The intervention included an asynchronous online course with 13 modules. Knowledge retention was assessed by comparing the mean scores before and after the course. RESULTS: The results indicated a significant increase in knowledge retention. The participants' average score increased from 59.97% in the initial assessment to 84.05% in the final assessment (P<.001). Nurses with a master's degree exhibited a higher level of basic knowledge than those with a bachelor's degree. The course completion rate was 93.45%, reflecting significant engagement attributed to gamification and clinically relevant content. CONCLUSIONS: This study confirms the effectiveness of m-learning in improving knowledge retention in nursing. This strategy is a valuable approach to lifelong learning, promoting quality and safety in delivering health care. m-learning is useful in nurses' lifelong learning, offering flexibility and more effective support for clinical practice. Integrating virtual simulation and gamification boosted motivation and reduced drop-out rates, highlighting the potential of m-learning in lifelong learning in health care.",nursing,JMIR Nurs,Canada,2025,Journal Article,unknown,10.2196/72957
